,0,1,2,3,4,5,6
0,,Casos COVID-19 en Chile,Casos COVID-19 en Chile,Casos COVID-19 en Chile,Casos COVID-19 en Chile,Casos COVID-19 en Chile,Casos COVID-19 en Chile
1,,Casos totales acumulados,Casos nuevos  totales,Casos  nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos totales,% Total
2,Arica y Parinacota,967,37,35,2,10,"0,63%"
3,Tarapacá,3.696,105,92,13,46,"2,40%"
4,Antofagasta,3.753,194,179,15,57,"2,44%"
5,Atacama,389,24,22,2,0,"0,25%"
6,Coquimbo,1.345,89,75,14,7,"0,87%"
7,Valparaíso,5.865,251,216,35,107,"3,81%"
8,Metropolitana,124.135,4.389,4.039,350,2.273,"80,56%"
9,O’Higgins,1.552,110,98,12,28,"1,01%"
10,Maule,2.560,120,105,15,19,"1,66%"
11,Ñuble,1.673,57,52,5,20,"1,09%"
12,Biobío,2.974,128,106,22,12,"1,93%"
13,Araucanía,2.535,47,34,13,34,"1,65%"
14,Los Ríos,462,10,9,1,8,"0,30%"
15,Los Lagos,1.062,21,18,3,12,"0,69%"
16,Aysén,22,1,1,0,0,"0,01%"
17,Magallanes,1.102,13,8,5,15,"0,72%"
18,Total,154.092,5.596,5.089,507,2.648,100%
