Region,Hospitalized with symptoms,Intensive care,Total hospitalized,Home isolated,Total positives,Healed/Discharged,Deceased,Cases of diagnostic suspicion,Cases from screening,Total cases,Tested cases
Abruzzo,331,26,357,5087,5444,3690,540,7200,2474,9674,174707
Basilicata,74,7,81,1175,1256,684,47,670,1317,1987,99620
Calabria,134,7,141,2573,2714,1798,113,1174,3451,4625,266077
Campania,1297,164,1461,36243,37704,10537,644,46299,2586,48885,622408
Emilia-Romagna,1054,123,1177,18536,19713,27724,4601,39481,12557,52038,835830
Friuli Venezia Giulia,152,34,186,3922,4108,5115,387,8609,1001,9610,225536
Lazio,1786,168,1954,27758,29712,11002,1173,14932,26955,41887,1132105
Liguria,907,50,957,6979,7936,16863,1742,18879,7662,26541,224168
Lombardia,3355,345,3700,64184,67884,92567,17414,143887,33978,177865,1780305
Marche,247,39,286,4850,5136,6950,1009,13015,80,13095,183944
Molise,19,4,23,768,791,675,32,1448,50,1498,58031
P.A. Bolzano,193,15,208,4009,4217,2962,306,7485,0,7485,117659
P.A. Trento,109,9,118,1503,1621,6470,435,4842,3684,8526,112836
Piemonte,2381,146,2527,25364,27891,32807,4332,31834,33196,65030,609925
Puglia,669,78,747,9255,10002,6361,706,4849,12220,17069,386874
Sardegna,322,39,361,5205,5566,3035,207,3345,5463,8808,221404
Sicilia,839,115,954,11791,12745,6605,472,12621,7201,19822,472930
Toscana,956,137,1093,22877,23970,13678,1310,31190,7768,38958,706557
Umbria,260,41,301,5270,5571,3277,119,2917,6050,8967,169837
Valle d'Aosta,120,7,127,1457,1584,1235,162,2635,346,2981,25235
Veneto,759,97,856,22770,23626,25247,2371,24522,26722,51244,890507
